image_id,dim0,dim1,split
d8ba599611e5,2336,2836,train
29b23a11d1e4,3488,4256,train
8174f49500a5,2330,2846,train
d54f6204b044,2330,2846,train
d51cadde8626,3488,4256,train
47d014f9055a,2991,2992,train
89fd7f185d77,3480,4248,train
7c40e04c6163,2540,2880,train
6a93346150a4,2540,2880,train
5b687c54d3fd,3488,4256,train
be917938214c,2548,3060,train
85ffddb247ad,2284,2779,train
588b5f226959,3032,3032,train
ba170bfd0cdc,2800,3408,train
b23893fe008e,2330,2846,train
9178cdb575d7,3488,4256,train
59eff22a4a77,2336,2836,train
d1744cad68c1,3480,4248,train
6e1f00bb51ef,2801,2498,train
2b3e7de602cc,3480,4248,train
8f6792bb8de4,2539,3050,train
e00f9fe0cce5,2320,2828,train
7dbfb4abc250,2544,3056,train
9daead7ab0b8,2874,2840,train
d351eafe4a11,2416,2872,train
9435525bf9f8,2786,2819,train
3019399c31f4,3052,3052,train
73a4fda5dd09,2548,3052,train
f7edf5c476c4,2544,3056,train
4cbc17936e7d,2544,3056,train
d4131bd4e64a,2544,3056,train
582c442e440b,2544,3056,train
08f493a7fb3f,2929,2992,train
99bbc821132d,3052,3052,train
66b1f8f4b3cf,1140,1387,train
75c7112673de,3488,4256,train
6a80fbffe6d9,3488,4256,train
ff339bf108b4,2800,3407,train
60b2b1f5f130,2548,3060,train
636140b67fd6,3480,4240,train
e9a97d1b9a12,2539,3050,train
11c908b4554b,3480,4248,train
efe43aeaa2ee,3480,4248,train
de95298084e1,2336,2836,train
a7fd8a671824,3488,4256,train
bd332c501671,2336,2836,train
f658eafd6b22,2022,2149,train
0aab55177927,3020,3052,train
103d0b0c7095,2146,2236,train
6c29f6e817a2,3488,3488,train
91f8706309e6,2520,3032,train
b36981909f0f,2800,3408,train
a1a1617c0671,2336,2836,train
887f2a3f5441,1140,1387,train
99aa461b2afd,2520,2788,train
43ef8c8a927f,2801,2802,train
33c92b6bf73a,2320,2832,train
c3b136c11bc4,3480,4240,train
11fba2355a5f,3480,4240,train
b1df6b4bfd97,3480,4248,train
1b369b36f933,2801,2810,train
e7769e0ae31e,3480,4248,train
5a343fdced42,2320,2832,train
b475067fe7a9,3480,4240,train
383bcd1c7a6e,3480,4240,train
ad22bba45d10,3488,4256,train
d8e89f7d9d4c,2320,2832,train
f18545f9db39,2336,2836,train
9ae2cde33d08,3480,4240,train
014a736182d3,3488,4256,train
7ab08582b201,3480,4240,train
1c71a9226bbe,3480,4248,train
f6bf866f227e,2585,2992,train
3d34f6d50ed6,2544,3056,train
7a27260fe703,3480,4240,train
c6d076bc56a4,2801,2992,train
1444611cf962,2801,2798,train
6e50d72d9cca,1760,2140,train
b70e58bfaa55,3480,4248,train
b3b4c3900554,3488,4256,train
814bfd9a5e34,2336,2596,train
682dc5e0de25,2536,3048,train
cedb3b72e9f1,2338,2693,train
b43de320e7d9,2544,3056,train
0102b5cac730,2544,3056,train
b3ffe59e37c7,2544,3056,train
4dd9a462b193,1140,1387,train
a84b6afbf1f0,2336,2820,train
721efb1d26f9,2320,2832,train
68fcf433c6fe,2416,2872,train
0919a3b8af01,2416,2872,train
967e6bc69610,3032,3032,train
230acf0ec94a,2540,2880,train
2268ed37b205,3050,2539,train
c5c3110fee67,3488,4256,train
17cbffe655d2,2336,2836,train
ac92f478c77e,2516,3027,train
eeef8cafe0b0,3480,4240,train
edfa7e192393,2336,2836,train
bc21df79edc9,3480,4248,train
01b3d67779e8,2801,2802,train
f37c151bbfbe,2447,2657,train
e205526f7405,3480,4248,train
b97828a952ab,2043,2856,train
081c8b609ab0,2539,3050,train
c75a63bfc10c,2539,3050,train
c0029eae23ca,2336,2836,train
6970c59656c9,2336,2836,train
b8f98967f667,2244,3050,train
705b277c5f03,3488,4256,train
171561486151,2544,3056,train
8cbf85033da8,2544,3056,train
a951ab295c6e,3480,4240,train
4462bf606651,2539,3050,train
91f214e069e6,2800,3408,train
36cc02471131,3000,3000,train
d2d1058fb70c,4020,4891,train
0b9ba021bb79,3488,4256,train
20399ed905d4,3480,4248,train
d2ac016a5dca,2336,2836,train
41b1d441dcde,2801,2798,train
0811fe666ab0,2800,3408,train
2d67d7a11651,2336,2836,train
4ebb6fbe0720,2436,3032,train
